id;name;pic;pic_content_type;create_time;book_status;remark
1;Handmade Cotton Table CSS;../fake-data/blob/hipster.png;image/png;2020-08-21;WAIT;../fake-data/blob/hipster.txt
2;digital forecast Bahrain;../fake-data/blob/hipster.png;image/png;2020-08-21;WAIT;../fake-data/blob/hipster.txt
3;mobile intuitive high-level;../fake-data/blob/hipster.png;image/png;2020-08-22;DOWN;../fake-data/blob/hipster.txt
4;Sudan connect Overpass;../fake-data/blob/hipster.png;image/png;2020-08-22;WAIT;../fake-data/blob/hipster.txt
5;Cotton Representative software;../fake-data/blob/hipster.png;image/png;2020-08-21;DOWN;../fake-data/blob/hipster.txt
6;connecting;../fake-data/blob/hipster.png;image/png;2020-08-22;DOWN;../fake-data/blob/hipster.txt
7;bleeding-edge payment violet;../fake-data/blob/hipster.png;image/png;2020-08-22;WAIT;../fake-data/blob/hipster.txt
8;HTTP cross-platform mobile;../fake-data/blob/hipster.png;image/png;2020-08-21;WAIT;../fake-data/blob/hipster.txt
9;Port turn-key Australian Dollar;../fake-data/blob/hipster.png;image/png;2020-08-22;UP;../fake-data/blob/hipster.txt
10;relationships;../fake-data/blob/hipster.png;image/png;2020-08-21;DOWN;../fake-data/blob/hipster.txt
